mode,acousticness,danceability,energy,valence,instrumentalness,speechiness,track_name,artist_name,id
0.6546536707079773,-0.5223380419994453,0.7652449825213488,-0.7923481651898201,-1.7792988051508178,-0.3424854026642242,-0.30297887039158233,Exit,JAKE SOMMER,1607Fzl8UwZ6VFmXyObIr9
0.6546536707079773,-0.7193869731299407,0.5480802151594373,-0.713059614792607,0.6247420045003668,-0.3535366916815969,-0.47784461703319053,Whole World Gone Crazy,Whiskey Myers,6sEVFnBN97Fcq065OsUMVI
-1.5275252316519468,-0.6420330538844984,-1.9065397310827725,0.44228783385249604,-0.538503548556658,-0.3535366916815969,-0.42936698430086345,Unwell,Matchbox Twenty,6Bm6qUCSatPAqkQllFL7oA
0.6546536707079773,-0.7083945740792725,1.3311895277675416,-0.9056175229001238,1.4206468565920156,4.052243863244308,-0.21814301311001014,Mental Breakdown,What Stuck to the Wall,3YLJiEyzMmi4KxYocN2rD1
0.6546536707079773,-0.6843741465241089,1.3048665256630676,0.32901847614219176,-0.6976845189749876,-0.31635524374314755,-0.31509827857466416,Burning Down the House,Paramore,3pRCHHfwYNVCOjWSrkGNw1
-1.5275252316519468,-0.7491071631558213,0.008458672017718428,1.4050773743900813,-0.44462759164328397,-0.35349759467689545,0.9678276448058469,I Want,Hurricane on Saturn,0bAxBAvxJRxBKH2J50wPdZ
-1.5275252316519468,-0.15673899209203843,-0.47851686691505285,-1.4096661647109774,0.22066723343845293,-0.3535366916815969,4.638276980253464,3005,Childish Gambino,3Z2sglqDj1rDRMF5x0Sz2R
0.6546536707079773,2.5099355924218987,0.6599529741034522,0.43662436596698084,1.6369697138271813,-0.35352927503874526,0.2510512179778692,Rockin' Little Angel,Ray Smith,1R4kAzLGI0PQBe32NAGP40
0.6546536707079773,-0.5133812724026046,1.2324782698757637,0.47626864116558737,1.5104412501613298,-0.17327788859822935,-0.5955760108116989,Sultans Of Swing,Dire Straits,37Tmv4NnfQeb0ZgUC4fOJj
0.6546536707079773,0.24224438085813838,1.1337670119839858,-1.1151658346641866,0.23291192347063214,0.47653790562328374,-0.6475163315963349,So Far Away,Dire Straits,5tDUVSIv2wEdOkHCOKHKeI
-1.5275252316519468,-0.7340027926084217,-1.4129834416238831,1.320125356107353,-1.081351473316603,-0.35352657361254103,0.08137950341472464,Bring Me To Life,Evanescence,0COqiPhxzoWICwFCS4eZcp
-1.5275252316519468,-0.7256974244368057,-2.538291781590151,0.2610568615160092,0.032915319611704894,3.2319926339548695,0.5107528219010495,Far Beyond The Sun,Yngwie Malmsteen,05lUyYIxudPjbQzmnYoHjb
0.6546536707079773,0.7715080388532709,1.2785435235585934,-1.9986668248045594,-0.44054602829922423,-0.12268754331870113,-0.5176655296347448,Baby Hotline,Jack Stauber's Micropop,1R8kvV2AgNPCA2Pp4Im1Ao
0.6546536707079773,-0.7608812439167592,0.008458672017718428,0.47626864116558737,-0.4731985350517022,-0.29361414678739844,0.06579740717933384,Latin American Idiot,Jon Roger Band,6SyI5bEB6a8QGyxekjzBY5
-1.5275252316519468,0.6615840483465895,2.2195908487935427,-1.6701856874446774,-0.9915570797472887,-0.3535366916815969,1.885439978667751,Drugs,UPSAHL,06ioYJ99HHjzRk8HrGfkKS
0.6546536707079773,-0.7395397047228324,-0.42587086270610464,1.08792317280123,0.19209629003003476,-0.35294237791666266,0.05194665497009739,Mean Street - 2015 Remaster,Van Halen,1eGSgC6ZhJ8D4nrZZ83LyA
0.6546536707079773,-0.6237123888000514,0.6533722235773337,0.3403454119132222,1.3226893363345817,-0.30731774516894056,0.5973200232087762,Baby Take Me Back Home,Darrel Higham & The Enforcers,7LxIaQ6ar0jLjPQb71KsRo
0.6546536707079773,0.6819403428848637,0.8705369909392453,-0.44687662417339197,-0.3997303948586269,-0.35222036036752763,-0.6059640749686261,Solsbury Hill,Peter Gabriel,6vZZtivPrtpggT5SSXsYTy
0.6546536707079773,2.00917074678035,-0.7614891395381493,-0.5148382387995746,0.5798448077157096,-0.3534595782426757,-0.005187697893002245,Flyin' Saucers Rock 'N' Roll,Billy Lee Riley,7IXiEF3a1Jl18oLoGu7Uzz
0.6546536707079773,-0.6876311536502328,2.0813950877450536,-2.094945778858318,0.88596205852019,-0.34857589083379853,0.1212004160162789,Run,SMITH,30MkXkQ5C5Oy17YlH09XF2
0.6546536707079773,-0.5268164267978657,-0.05734883324346688,-1.370021889512371,-1.0609436565963042,-0.3535366916815969,-0.6232775152301715,You are my melody,Peter Sheeren,2hrYoCDQLpMmQyUFmvFuk3
-1.5275252316519468,-0.7601606310901042,0.09400842885725932,0.6461726777310431,0.73086265144592,-0.3414539490226028,-0.524590905739363,Call Me,Blondie,4qO03RMQm88DdpTJcxlglY
-1.5275252316519468,-0.7339213674302686,-1.8407322258215872,0.4252974301959504,-0.036471257237310234,-0.33339878724994,-0.3964714478039273,Hunter's Mark,Psychic Damage,5e44bb3F4wTytiwsxjkLSp
-1.5275252316519468,-0.6872240277594673,-1.3669181879410535,0.5272398521352243,-0.6568688855343903,-0.3535366916815969,-0.4120535440393181,You Found Me,The Fray,4IoYz8XqqdowINzfRrFnhi
0.6546536707079773,-0.1730240277226579,-1.0049769090045346,0.9803172829764408,-0.6976845189749876,-0.3533952351821746,0.13505116822551533,Headstone,Whiskey Myers,4rQfCllOKfgfsZdwvRUT8G
0.6546536707079773,0.34809711245716496,-0.37980560902327487,0.6914804208151649,-1.236450880390873,-0.3535366916815969,-0.4553371446931815,A Thousand Miles,Vanessa Carlton,6Qm9MaditCcx5V62rVHYqu
